정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
서남부터미널,22370,31,서남부터미널기점 - 서남부터미널종점,2023-04,일반인,0,0,0,0,19,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서남부터미널,22370,316,대한통운종점 - 대한통운종점,2023-04,일반인,0,0,0,0,23,36,17,30,14,36,12,14,6,17,11,27,11,28,5,18,9,24,15,27,15,32,24,42,18,30,10,20,9,21,6,34,6,34,1,12,0,0,0,0,0,0,0,0,
서남부터미널,22370,316,대한통운종점 - 대한통운종점,2023-04,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서남부터미널,22370,316,대한통운종점 - 대한통운종점,2023-04,청소년,0,0,0,0,0,0,9,0,4,0,0,0,1,0,3,0,0,1,0,0,0,2,0,1,3,0,2,1,0,2,1,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
서남부터미널,22370,316,대한통운종점 - 대한통운종점,2023-04,경로,0,0,0,0,0,0,0,1,0,2,0,1,0,3,0,0,0,0,0,1,1,18,0,1,0,6,1,0,2,2,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,
서남부터미널,22370,316,대한통운종점 - 대한통운종점,2023-04,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서남부터미널,22370,316,대한통운종점 - 대한통운종점,2023-04,국가유공자,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서남부터미널,22370,32,서남부터미널기점 - 서남부터미널종점,2023-04,일반인,0,0,0,0,0,0,5,0,0,0,10,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서남부터미널,22370,32,서남부터미널기점 - 서남부터미널종점,2023-04,경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서남부터미널,22370,34,서남부터미널기점 - 서남부터미널종점,2023-04,일반인,0,0,0,0,17,0,2,0,20,0,13,0,0,0,1,0,6,0,1,0,4,0,3,2,2,0,9,0,3,0,3,0,9,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,
서남부터미널,22370,34,서남부터미널기점 - 서남부터미널종점,2023-04,청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서남부터미널,22370,34,서남부터미널기점 - 서남부터미널종점,2023-04,경로,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서남부터미널,22370,34,서남부터미널기점 - 서남부터미널종점,2023-04,국가유공자,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서남부터미널,22370,41,서남부터미널기점 - 서남부터미널종점,2023-04,일반인,0,0,0,0,0,1,0,2,0,1,0,2,0,2,0,1,0,3,0,1,0,5,0,1,0,3,0,9,0,6,0,2,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,
서남부터미널,22370,41,서남부터미널기점 - 서남부터미널종점,2023-04,청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서남부터미널,22370,41,서남부터미널기점 - 서남부터미널종점,2023-04,경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서남부터미널,22370,42,서남부터미널기점 - 서남부터미널종점,2023-04,일반인,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,3,0,1,0,1,0,3,0,0,0,4,0,7,0,0,0,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
서남부터미널,22370,42,서남부터미널기점 - 서남부터미널종점,2023-04,청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서남부터미널,22370,42,서남부터미널기점 - 서남부터미널종점,2023-04,경로,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서남부터미널,22370,43,서남부터미널기점 - 서남부터미널종점,2023-04,일반인,0,0,0,0,0,0,0,16,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,6,1,0,0,0,1,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,
서남부터미널,22370,43,서남부터미널기점 - 서남부터미널종점,2023-04,청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서남부터미널,22370,46,서남부터미널기점 - 서남부터미널종점,2023-04,일반인,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,1,0,5,0,1,0,3,0,3,0,10,0,7,0,4,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,
서남부터미널,22370,46,서남부터미널기점 - 서남부터미널종점,2023-04,청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서남부터미널,22370,46,서남부터미널기점 - 서남부터미널종점,2023-04,경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서남부터미널,22370,46,서남부터미널기점 - 서남부터미널종점,2023-04,국가유공자,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서남부터미널,22370,47-1,서남부터미널기점 - 서남부터미널기점,2023-04,일반인,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서남부터미널,22370,47-1,서남부터미널기점 - 서남부터미널기점,2023-04,경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서남부터미널,22370,916,서남부터미널기점 - 서남부터미널종점,2023-04,일반인,0,0,0,0,0,0,0,4,0,5,0,7,0,4,0,2,0,0,0,0,0,7,0,3,1,3,0,9,0,2,0,8,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
서남부터미널,22370,916,서남부터미널기점 - 서남부터미널종점,2023-04,청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서남부터미널,22370,916,서남부터미널기점 - 서남부터미널종점,2023-04,경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
서남부터미널,22370,916,서남부터미널기점 - 서남부터미널종점,2023-04,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
